Estacion,Fecha,Indice,Temperaturas (°C) Máxima,Temperaturas (°C) Mínima,Temperaturas (°C) Promedio,Lluvia Diaria mm (litros/m²) Mes Actual,Lluvia Diaria mm (litros/m²) Acum. Actual,Lluvia Diaria mm (litros/m²) Promedio Histórico,Lluvia Diaria mm (litros/m²) Acum. Promedio Histórico,Viento Máximo Velocidad (Km/h),Viento Máximo Dirección (°),Viento Máximo Hora Local,Dirección del viento predominante,Ruta_Archivo
Albrook,2016-01-01,1,33.2,25.5,29.4,0,0,NA,NA,25.9,340,11:00:00,Nor-Noroeste,Albrook/2016_1.csv
Albrook,2016-01-02,2,32.4,26.3,29.4,0,0,NA,NA,18.5,330,16:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-03,3,31.9,25.6,28.8,0,0,NA,NA,22.2,30,15:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-04,4,32.7,24.6,28.7,0,0,NA,NA,22.2,320,16:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-05,5,32.8,25.8,29.3,17.5,17.5,NA,NA,18.5,40,14:10:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-06,6,33.2,25.7,29.5,0,17.5,NA,NA,22.2,50,12:00:00,Nor-Noreste,Albrook/2016_1.csv
Albrook,2016-01-07,7,33.2,25.2,29.2,0,17.5,NA,NA,18.5,330,16:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-08,8,31.5,25.1,28.3,0,17.5,NA,NA,18.5,320,07:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-09,9,33.2,25.2,29.2,0,17.5,NA,NA,25.9,350,13:00:00,Nor-Noroeste,Albrook/2016_1.csv
Albrook,2016-01-10,10,32.4,24.3,28.4,0,17.5,NA,NA,25.9,310,15:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-11,11,33,23.6,28.3,0,17.5,NA,NA,22.2,30,11:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-12,12,31.6,24.4,28,0,17.5,NA,NA,29.6,280,13:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-13,13,32.4,25.3,28.9,0,17.5,NA,NA,25.9,30,12:00:00,Calmo,Albrook/2016_1.csv
Albrook,2016-01-14,14,32.8,23.6,28.2,0,17.5,NA,NA,18.5,330,10:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-15,15,31.9,23.8,27.9,0,17.5,NA,NA,25.9,320,16:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-16,16,33.6,24.7,29.2,0,17.5,NA,NA,22.2,330,18:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-17,17,32.8,24.4,28.6,0,17.5,NA,NA,22.2,330,16:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-18,18,31.8,24.8,28.3,0,17.5,NA,NA,24,90,11:00:00,Noroeste,Albrook/2016_1.csv
Albrook,2016-01-19,19,32,25.4,28.7,0,17.5,NA,NA,40.7,350,11:00:00,Nor-Noreste,Albrook/2016_1.csv
Albrook,2016-01-20,20,33.2,25.9,29.6,0,17.5,NA,NA,18.5,50,13:00:00,Nor-Noroeste,Albrook/2016_1.csv
Albrook,2016-01-21,21,33.2,24.5,28.9,0,17.5,NA,NA,18.5,330,17:00:00,Noroeste,Albrook/2016_1.csv
